timestamp,cpu_percent,ram_percent,gpu_percent,vram_percent
2026-01-07 14:22:36.415570,77.1,90.1,1.0,4.541015625
2026-01-07 14:22:37.462222,72.8,90.0,10.0,4.541015625
2026-01-07 14:22:38.504272,73.7,90.1,4.0,4.541015625
2026-01-07 14:22:39.549045,74.4,90.2,8.0,4.541015625
2026-01-07 14:22:40.585646,76.4,90.1,7.0,4.541015625
2026-01-07 14:22:41.622884,74.6,90.3,4.0,4.541015625
2026-01-07 14:22:42.678478,68.1,90.1,3.0,4.541015625
2026-01-07 14:22:43.735105,70.2,90.1,8.0,4.541015625
2026-01-07 14:22:44.785403,75.3,90.3,4.0,4.541015625
2026-01-07 14:22:45.833007,76.4,90.5,4.0,4.541015625
2026-01-07 14:22:46.884086,75.4,90.3,4.0,4.541015625
2026-01-07 14:22:47.939358,74.9,90.4,8.0,4.541015625
2026-01-07 14:22:48.999167,73.8,90.4,0.0,4.541015625
2026-01-07 14:22:50.045011,79.8,90.3,5.0,4.541015625
2026-01-07 14:22:51.098970,73.3,90.5,8.0,4.541015625
2026-01-07 14:22:52.148582,74.0,90.5,4.0,4.541015625
2026-01-07 14:22:53.198340,73.5,90.4,4.0,4.541015625
2026-01-07 14:22:54.242320,75.1,90.6,0.0,4.541015625
2026-01-07 14:22:55.301711,75.0,90.5,0.0,4.541015625
2026-01-07 14:22:56.349167,72.3,90.4,4.0,4.541015625
2026-01-07 14:22:57.390509,76.4,90.3,4.0,4.541015625
2026-01-07 14:22:58.432076,74.8,90.4,12.0,4.541015625
2026-01-07 14:22:59.471811,69.3,90.5,8.0,4.541015625
2026-01-07 14:23:00.527347,77.7,90.5,8.0,4.541015625
2026-01-07 14:23:01.599014,73.3,90.5,8.0,4.541015625
2026-01-07 14:23:02.649622,72.9,90.4,4.0,4.541015625
2026-01-07 14:23:03.692583,77.0,90.5,4.0,4.541015625
2026-01-07 14:23:04.743152,73.4,90.5,8.0,4.541015625
2026-01-07 14:23:05.799090,77.4,90.6,8.0,4.541015625
2026-01-07 14:23:06.852431,78.0,90.4,5.0,4.541015625
2026-01-07 14:23:07.905473,77.4,90.7,4.0,4.541015625
2026-01-07 14:23:08.965966,72.2,90.7,3.0,4.541015625
2026-01-07 14:23:10.040268,80.2,91.0,9.0,4.541015625
2026-01-07 14:23:11.087595,76.4,91.1,9.0,4.541015625
2026-01-07 14:23:12.158802,78.4,91.1,0.0,4.541015625
2026-01-07 14:23:13.210636,77.1,91.2,9.0,4.541015625
2026-01-07 14:23:14.258576,77.2,91.6,2.0,4.541015625
2026-01-07 14:23:15.295748,74.4,91.4,9.0,4.541015625
2026-01-07 14:23:16.331695,74.4,91.4,8.0,4.541015625
2026-01-07 14:23:17.382109,71.7,91.4,4.0,4.541015625
